	p_H2 during ESD	H2 base pressure	conductance factor	Temp
58		5.22902282755173e-09	0.01992516581153798	295.5
59		5.2381308087723875e-09	0.01992516581153798	295.5
60		5.2462059261432796e-09	0.01992516581153798	295.5
61		5.233576818162059e-09	0.01992516581153798	295.5
62		5.224515785298209e-09	0.01992516581153798	295.5
63		5.220478226612763e-09	0.01992516581153798	295.5
64		5.208835034124501e-09	0.01992516581153798	295.5
65		5.205079165579899e-09	0.01992516581153798	295.5
66		5.200525174969571e-09	0.01992516581153798	295.5
67		5.245173062293514e-09	0.01992516581153798	295.5
68		5.2260181327160495e-09	0.01992516581153798	295.5
69		5.253248179664406e-09	0.01992516581153798	295.5
70		5.229539259476613e-09	0.01992516581153798	295.5
71		5.215407804077552e-09	0.01992516581153798	295.5
72		5.230290433185533e-09	0.01992516581153798	295.5
73		5.218928930838115e-09	0.01992516581153798	295.5
74		5.218694189054077e-09	0.01992516581153798	295.5
75		5.223248179664406e-09	0.01992516581153798	295.5
76		5.228788085767693e-09	0.01992516581153798	295.5
77		5.2091167242653454e-09	0.01992516581153798	295.5
78		5.20658151299774e-09	0.01992516581153798	295.5
79		5.19827165384281e-09	0.01992516581153798	295.5
80		5.235595597504781e-09	0.01992516581153798	295.5
81		5.214891372152669e-09	0.01992516581153798	295.5
82		5.208835034124501e-09	0.01992516581153798	295.5
83		5.209351466049383e-09	0.01992516581153798	295.5
84		5.178553343983655e-09	0.01992516581153798	295.5
85		5.201792780603373e-09	0.01992516581153798	295.5
86		5.212872592809947e-09	0.01992516581153798	295.5
87		5.220712968396801e-09	0.01992516581153798	295.5
88		5.210853813467223e-09	0.01992516581153798	295.5
89		5.223248179664406e-09	0.01992516581153798	295.5
90		5.192215315814641e-09	0.01992516581153798	295.5
91		5.181370245392106e-09	0.01992516581153798	295.5
92		5.20733268670666e-09	0.01992516581153798	295.5
93	5.2012763486784914e-09		0.01992516581153798	295.5
94	5.194234095157364e-09		0.01992516581153798	295.5
95	5.184891372152669e-09		0.01992516581153798	295.5
96	5.186910151495393e-09		0.01992516581153798	295.5
97	5.200759916753608e-09		0.01992516581153798	295.5
98	6.291933625673797e-09		0.01992516581153798	295.5
99	5.951511090462529e-09		0.01992516581153798	295.5
100	5.855360855720745e-09		0.01992516581153798	295.5
101	5.810196536471919e-09		0.01992516581153798	295.5
102	5.786205926143281e-09		0.01992516581153798	295.5
103	5.758459447270041e-09		0.01992516581153798	295.5
104	5.746863203138586e-09		0.01992516581153798	295.5
105	5.7241401984437495e-09		0.01992516581153798	295.5
106	5.72263785102591e-09		0.01992516581153798	295.5
107	5.720619071683186e-09		0.01992516581153798	295.5
108	5.713295128021214e-09		0.01992516581153798	295.5
109	5.712309212528257e-09		0.01992516581153798	295.5
110	5.7281777571291956e-09		0.01992516581153798	295.5
111	5.701698883889759e-09		0.01992516581153798	295.5
112	5.72263785102591e-09		0.01992516581153798	295.5
113	5.723905456659712e-09		0.01992516581153798	295.5
114	5.7241401984437495e-09		0.01992516581153798	295.5
115	5.698412498913233e-09		0.01992516581153798	295.5
116	5.722872592809947e-09		0.01992516581153798	295.5
117	5.712778696096332e-09		0.01992516581153798	295.5
118	5.728459447270041e-09		0.01992516581153798	295.5
119	5.724421888584594e-09		0.01992516581153798	295.5
120	5.738036912058773e-09		0.01992516581153798	295.5
121	5.740572123326378e-09		0.01992516581153798	295.5
122	5.7224031092418724e-09		0.01992516581153798	295.5
123	5.732731747739525e-09		0.01992516581153798	295.5
124	5.741323297035299e-09		0.01992516581153798	295.5
125	5.761511090462529e-09		0.01992516581153798	295.5
126	5.762778696096332e-09		0.01992516581153798	295.5
127	5.750384329899149e-09		0.01992516581153798	295.5
128	5.743811559946097e-09		0.01992516581153798	295.5
129	5.758741137410886e-09		0.01992516581153798	295.5
130	5.751886677316989e-09		0.01992516581153798	295.5
131	5.757473531777083e-09		0.01992516581153798	295.5
132	5.758459447270041e-09		0.01992516581153798	295.5
133	5.766534564640933e-09		0.01992516581153798	295.5
134	5.784187146800557e-09		0.01992516581153798	295.5
135	5.776628461354547e-09		0.01992516581153798	295.5
136	5.73676930642497e-09		0.01992516581153798	295.5
137	5.775877287645628e-09		0.01992516581153798	295.5
