Coverage (molecules/cm^2),Pressure (mbar),Coverage (molecules/cm^2),Pressure (mbar),Coverage (molecules/cm^2),Pressure Barion gauge (mbar),Pressure RGA (mbar)
2.70222E+13,1.97E-10,2.70E+13,1.23E-11,2.39E+14,6.16E-11,1.52E-11
4.69511E+13,5.94E-07,1.81E+14,4.01E-11,4.90E+14,1.17E-10,3.08E-11
1.52E+14,4.83E-10,3.34E+14,5.24E-11,7.45E+14,1.69E-10,4.62E-11
1.53126E+14,3.41E-10,6.10E+14,6.47E-11,9.92E+14,2.22E-10,6.16E-11
1.54252E+14,2.70E-10,7.62E+14,6.47E-11,1.24E+15,2.56E-10,7.32E-11
1.84652E+14,2.67E-07,1.01E+15,1.45E-10,1.47E+15,2.90E-10,8.25E-11
1.92533E+14,1.13E-07,1.27E+15,2.31E-10,1.72E+15,3.20E-10,9.24E-11
2.11674E+14,7.64E-07,1.53E+15,2.71E-10,1.95E+15,3.57E-10,1.03E-10
2.30477E+14,8.41E-07,1.83E+15,3.36E-10,2.20E+15,3.94E-10,1.15E-10
2.3363E+14,4.74E-07,2.11E+15,3.94E-10,2.47E+15,4.37E-10,1.28E-10
2.432E+14,5.51E-10,2.40E+15,4.68E-10,2.71E+15,4.84E-10,1.43E-10
2.63467E+14,5.97E-10,2.72E+15,6.22E-10,2.95E+15,5.48E-10,1.64E-10
2.65719E+14,6.34E-10,3.00E+15,6.56E-10,3.28E+15,7.95E-10,2.57E-10
2.66845E+14,8.99E-07,3.29E+15,1.06E-09,3.51E+15,1.23E-09,4.56E-10
2.75852E+14,4.18E-10,3.64E+15,2.93E-09,3.73E+15,2.18E-09,9.13E-10
2.77541E+14,1.02E-09,4.10E+15,1.17E-08,3.97E+15,4.36E-09,2.00E-09
2.78104E+14,3.23E-07,4.29E+15,2.10E-08,4.22E+15,9.85E-09,5.27E-09
2.80356E+14,6.99E-10,4.58E+15,4.61E-08,4.54E+15,2.57E-08,1.62E-08
2.85985E+14,1.97E-07,4.76E+15,7.17E-08,4.87E+15,5.97E-08,4.24E-08
2.90489E+14,6.71E-10,5.04E+15,1.24E-07,5.19E+15,1.13E-07,8.93E-08
2.91615E+14,1.48E-09,5.43E+15,2.14E-07,5.48E+15,1.80E-07,1.56E-07
2.93867E+14,8.96E-07,5.67E+15,2.77E-07,5.65E+15,2.23E-07,2.08E-07
2.96119E+14,7.39E-10,5.71E+15,2.80E-07,5.96E+15,3.23E-07,3.18E-07
3.19651E+14,6.90E-07,6.03E+15,3.94E-07,6.42E+15,5.11E-07
3.20664E+14,7.85E-10,6.24E+15,4.59E-07,6.77E+15,6.62E-07
3.44533E+14,2.83E-09,6.48E+15,5.29E-07,7.48E+15,8.28E-07
3.90696E+14,3.85E-07,6.90E+15,7.05E-07,8.18E+15,8.44E-07
4.24474E+14,8.69E-07,7.45E+15,8.22E-07
4.3123E+14,8.99E-07,7.74E+15,8.47E-07
4.65008E+14,6.54E-08,8.01E+15,8.62E-07
5.48326E+14,8.90E-07,8.44E+15,8.75E-07
